iter	Passed	Remaining
0	3	3617
1	7	3594
2	10	3477
3	14	3589
4	18	3638
5	21	3619
6	25	3566
7	29	3618
8	32	3624
9	36	3601
10	39	3560
11	42	3515
12	46	3505
13	49	3502
14	53	3488
15	55	3442
16	59	3423
17	62	3422
18	66	3447
19	70	3436
20	73	3412
21	76	3405
22	80	3413
23	83	3410
24	87	3397
25	90	3386
26	93	3384
27	97	3381
28	101	3394
29	104	3378
30	107	3365
31	111	3376
32	115	3384
33	118	3376
34	122	3364
35	125	3354
36	129	3357
37	132	3350
38	136	3357
39	140	3365
40	144	3374
41	148	3383
42	151	3372
43	155	3377
44	158	3373
45	162	3377
46	166	3371
47	169	3361
48	172	3352
49	176	3358
50	180	3358
51	184	3361
52	187	3356
53	191	3359
54	196	3369
55	199	3364
56	202	3351
57	205	3344
58	210	3352
59	214	3352
60	217	3344
61	220	3334
62	224	3337
63	228	3336
64	231	3334
65	235	3333
66	239	3337
67	243	3340
68	247	3336
69	250	3331
70	254	3326
71	258	3326
72	261	3325
73	265	3319
74	268	3313
75	272	3315
76	276	3317
77	280	3314
78	284	3311
79	287	3304
80	291	3303
81	294	3301
82	298	3296
83	301	3290
84	305	3293
85	309	3291
86	314	3295
87	317	3287
88	320	3284
89	324	3279
90	327	3273
91	331	3268
92	334	3261
93	338	3265
94	342	3264
95	346	3259
96	349	3253
97	352	3246
98	356	3245
99	360	3243
100	364	3241
101	367	3237
102	371	3237
103	375	3235
104	378	3229
105	382	3224
106	386	3222
107	389	3219
108	393	3216
109	397	3212
110	400	3207
111	404	3206
112	408	3204
113	411	3197
114	414	3191
115	418	3190
116	423	3194
117	426	3190
118	430	3187
119	434	3185
120	438	3184
121	442	3181
122	445	3177
123	449	3172
124	453	3171
125	456	3168
126	459	3161
127	463	3156
128	467	3155
129	471	3152
130	474	3148
131	477	3142
132	481	3140
133	485	3138
134	489	3135
135	493	3132
136	496	3128
137	501	3131
138	505	3130
139	509	3127
140	513	3126
141	517	3126
142	521	3125
143	524	3120
144	528	3116
145	532	3116
146	536	3113
147	540	3110
148	543	3106
149	547	3104
150	552	3104
151	555	3099
152	558	3094
153	562	3088
154	566	3087
155	569	3082
156	573	3078
157	576	3073
158	580	3070
159	584	3068
160	588	3065
161	591	3060
162	595	3056
163	599	3055
164	602	3049
165	606	3044
166	609	3039
167	613	3039
168	617	3037
169	621	3033
170	624	3028
171	628	3025
172	632	3023
173	636	3020
174	639	3016
175	643	3011
176	647	3009
177	651	3007
178	654	3003
179	658	2998
180	662	2997
181	666	2994
182	669	2990
183	673	2985
184	676	2981
185	680	2978
186	684	2975
187	687	2970
188	690	2965
189	694	2962
190	698	2958
191	702	2955
192	705	2950
193	709	2948
194	713	2945
195	717	2941
196	720	2936
197	724	2932
198	727	2929
199	732	2928
200	736	2925
201	739	2920
202	743	2918
203	747	2917
204	751	2913
205	754	2908
206	759	2908
207	763	2905
208	766	2902
209	770	2899
210	774	2897
211	778	2894
212	782	2891
213	786	2887
214	789	2883
215	793	2881
216	797	2877
217	801	2873
218	804	2868
219	808	2865
220	812	2862
221	815	2859
222	819	2853
223	822	2849
224	826	2847
225	830	2845
226	834	2841
227	837	2836
228	841	2833
229	845	2830
230	848	2826
231	852	2821
232	856	2818
233	859	2814
234	863	2811
235	867	2807
236	871	2804
237	875	2802
238	879	2800
239	884	2799
240	888	2797
241	892	2795
242	896	2794
243	901	2791
244	905	2789
245	909	2787
246	913	2784
247	916	2779
248	920	2776
249	924	2774
250	928	2772
251	932	2767
252	936	2764
253	940	2761
254	944	2758
255	947	2753
256	950	2749
257	954	2746
258	959	2744
259	962	2740
260	966	2735
261	970	2733
262	974	2730
263	978	2727
264	981	2723
265	985	2719
266	990	2717
267	993	2713
